time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1468.275947402949,6.3141719e+03,1.3404299e+01,3.8817630e-03,173388,2082.38832,1995.88341,6.9493369e+03,1.1192358e+01,1.7631088e+03,4.3959575e+00,6.3141719e+03,1.3404299e+01,0,nan,nan,nan,nan,2082.38832,1.3345442e-03,1995.88341,1.4982335e-03,-3.2708030e-02,-2.9214233e-02
1468.2773363396925,6.3326626e+03,1.3410061e+01,3.8818114e-03,173389,2082.38985,1995.88090,6.9658682e+03,1.1197169e+01,1.7624425e+03,4.3949594e+00,6.3326626e+03,1.3410061e+01,0,nan,nan,nan,nan,2082.38985,1.3323206e-03,1995.88090,1.4938071e-03,-2.8569365e-02,-3.2335684e-02
1468.278725276202,6.2893296e+03,1.3390531e+01,3.8818596e-03,173390,2082.38861,1995.88112,6.9258975e+03,1.1180861e+01,1.7686686e+03,4.3970714e+00,6.2893296e+03,1.3390531e+01,0,nan,nan,nan,nan,2082.38861,1.3378720e-03,1995.88112,1.4986761e-03,-2.9651288e-02,-2.8875988e-02
1468.2801142129451,6.2887119e+03,1.3398848e+01,3.8819080e-03,173391,2082.38895,1995.87692,6.9241719e+03,1.1187806e+01,1.7706775e+03,4.4025073e+00,6.2887119e+03,1.3398848e+01,0,nan,nan,nan,nan,2082.38895,1.3374687e-03,1995.87692,1.4998659e-03,-4.2165004e-02,-3.4992047e-02
1468.2815031494558,6.3237222e+03,1.3404291e+01,3.8819562e-03,173392,2082.39099,1995.88618,6.9567651e+03,1.1192351e+01,1.7602312e+03,4.3964562e+00,6.3237222e+03,1.3404291e+01,0,nan,nan,nan,nan,2082.39099,1.3320089e-03,1995.88618,1.4938557e-03,-2.6950404e-02,-2.9657025e-02
1468.282892086199,6.3117905e+03,1.3396999e+01,3.8820046e-03,173393,2082.39121,1995.87937,6.9470815e+03,1.1186263e+01,1.7630131e+03,4.3927507e+00,6.3117905e+03,1.3396999e+01,0,nan,nan,nan,nan,2082.39121,1.3349425e-03,1995.87937,1.4960604e-03,-3.5731178e-02,-3.2908231e-02
1468.2842810227091,6.2929512e+03,1.3388625e+01,3.8820528e-03,173394,2082.38801,1995.88178,6.9295913e+03,1.1179271e+01,1.7600042e+03,4.3959160e+00,6.2929512e+03,1.3388625e+01,0,nan,nan,nan,nan,2082.38801,1.3351237e-03,1995.88178,1.4992690e-03,-4.0689062e-02,-3.0436840e-02
1468.285669959452,6.3128618e+03,1.3393555e+01,3.8821013e-03,173395,2082.39338,1995.88044,6.9462480e+03,1.1183386e+01,1.7610195e+03,4.3914533e+00,6.3128618e+03,1.3393555e+01,0,nan,nan,nan,nan,2082.39338,1.3344567e-03,1995.88044,1.4967344e-03,-3.5289004e-02,-3.1460784e-02
1468.2870588959622,6.3097754e+03,1.3401815e+01,3.8821495e-03,173396,2082.38732,1995.88026,6.9416094e+03,1.1190284e+01,1.7686694e+03,4.3980651e+00,6.3097754e+03,1.3401815e+01,0,nan,nan,nan,nan,2082.38732,1.3355645e-03,1995.88026,1.4979553e-03,-3.8354144e-02,-3.9265517e-02
1468.2884478327053,6.2817793e+03,1.3383392e+01,3.8821979e-03,173397,2082.39105,1995.88120,6.9210166e+03,1.1174901e+01,1.7630048e+03,4.3957629e+00,6.2817793e+03,1.3383392e+01,0,nan,nan,nan,nan,2082.39105,1.3378906e-03,1995.88120,1.5016109e-03,-3.3865537e-02,-3.4352563e-02
