time,flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
2306.610545262025,nan,nan,10000000000000000000,4.356842e-03,828.59054,456.54213,107552,1.0529508e+06,3.0613104e+01,3.2380531e+04,1.2025430e+01,nan,nan,10000000000000000000,nan,nan,nan,nan,828.59054,4.5612760e-05,456.54213,6.6438151e-05,-9.1316745e-02,-1.7668204e-02
2306.630977423476,5.4339725e+05,3.0354836e+01,0,4.355303e-03,828.58224,456.54758,107553,1.0616564e+06,3.0676329e+01,3.2349426e+04,1.1954943e+01,5.4339725e+05,3.0354836e+01,0,nan,nan,nan,nan,828.58224,4.5248620e-05,456.54758,6.5966393e-05,-9.3984954e-02,-1.1381588e-02
2306.651409384933,5.3433144e+05,3.0254421e+01,0,4.353765e-03,828.58456,456.55233,107554,1.0524530e+06,3.0580570e+01,3.2382215e+04,1.1958049e+01,5.3433144e+05,3.0254421e+01,0,nan,nan,nan,nan,828.58456,4.5603138e-05,456.55233,6.6470056e-05,-9.6562780e-02,-8.3920220e-03
2306.671841445459,5.3294112e+05,3.0281626e+01,0,4.352225e-03,828.58339,456.55866,107555,1.0509595e+06,3.0592432e+01,3.2364805e+04,1.2027325e+01,5.3294112e+05,3.0281626e+01,0,nan,nan,nan,nan,828.58339,4.5655052e-05,456.55866,6.6557222e-05,-9.8280191e-02,-3.1411559e-03
2306.692273605513,5.3170181e+05,3.0274500e+01,0,4.350686e-03,828.58267,456.56194,107556,1.0498015e+06,3.0582170e+01,3.2357654e+04,1.2029009e+01,5.3170181e+05,3.0274500e+01,0,nan,nan,nan,nan,828.58267,4.5694498e-05,456.56194,6.6625464e-05,-9.9340476e-02,-4.9301219e-04
2306.712705565573,5.3183906e+05,3.0252157e+01,0,4.349146e-03,828.58306,456.56502,107557,1.0498609e+06,3.0561514e+01,3.2380545e+04,1.1977692e+01,5.3183906e+05,3.0252157e+01,0,nan,nan,nan,nan,828.58306,4.5685541e-05,456.56502,6.6604385e-05,-9.8443761e-02,2.4846727e-03
2306.733137724703,5.3070400e+05,3.0258972e+01,0,4.347605e-03,828.58317,456.56747,107558,1.0488502e+06,3.0561995e+01,3.2374131e+04,1.2006987e+01,5.3070400e+05,3.0258972e+01,0,nan,nan,nan,nan,828.58317,4.5716239e-05,456.56747,6.6652581e-05,-9.8300636e-02,4.6828873e-03
2306.753569683824,5.2938181e+05,3.0248713e+01,0,4.346064e-03,828.58524,456.56964,107559,1.0474738e+06,3.0547512e+01,3.2366100e+04,1.2007192e+01,5.2938181e+05,3.0248713e+01,0,nan,nan,nan,nan,828.58524,4.5770721e-05,456.56964,6.6722474e-05,-9.6295163e-02,6.6863042e-03
2306.7740017424876,5.2994138e+05,3.0269699e+01,0,4.344522e-03,828.58784,456.57038,107560,1.0478348e+06,3.0559601e+01,3.2359938e+04,1.2029509e+01,5.2994138e+05,3.0269699e+01,0,nan,nan,nan,nan,828.58784,4.5770754e-05,456.57038,6.6684326e-05,-9.4643012e-02,7.1648727e-03
2306.794433900679,5.2967862e+05,3.0244421e+01,0,4.342981e-03,828.58578,456.57061,107561,1.0473543e+06,3.0536201e+01,3.2360689e+04,1.1982955e+01,5.2967862e+05,3.0244421e+01,0,nan,nan,nan,nan,828.58578,4.5770070e-05,456.57061,6.6712761e-05,-9.5151775e-02,7.6107350e-03
2306.8148658584105,5.2870681e+05,3.0240871e+01,0,4.341438e-03,828.58547,456.57526,107562,1.0464299e+06,3.0520422e+01,3.2378951e+04,1.1968536e+01,5.2870681e+05,3.0240871e+01,0,nan,nan,nan,nan,828.58547,4.5804987e-05,456.57526,6.6757319e-05,-9.6293509e-02,1.1244072e-02
2306.8352979152114,5.2782000e+05,3.0226477e+01,0,4.339895e-03,828.58516,456.57611,107563,1.0455392e+06,3.0516909e+01,3.2402781e+04,1.1981365e+01,5.2782000e+05,3.0226477e+01,0,nan,nan,nan,nan,828.58516,4.5834851e-05,456.57611,6.6809014e-05,-9.6676528e-02,1.2166157e-02
2306.855730072013,5.2706412e+05,3.0232080e+01,0,4.338352e-03,828.58646,456.57825,107564,1.0448779e+06,3.0503756e+01,3.2371057e+04,1.1966278e+01,5.2706412e+05,3.0232080e+01,0,nan,nan,nan,nan,828.58646,4.5864301e-05,456.57825,6.6832275e-05,-9.5823154e-02,1.3782391e-02
2306.876162028806,5.2726538e+05,3.0229063e+01,0,4.336809e-03,828.58665,456.58288,107565,1.0449783e+06,3.0493961e+01,3.2399461e+04,1.1937903e+01,5.2726538e+05,3.0229063e+01,0,nan,nan,nan,nan,828.58665,4.5872832e-05,456.58288,6.6822126e-05,-9.7107142e-02,1.7436320e-02
2306.8965940846756,5.2749975e+05,3.0249922e+01,0,4.335265e-03,828.58464,456.58842,107566,1.0451171e+06,3.0516775e+01,3.2369889e+04,1.1989818e+01,5.2749975e+05,3.0249922e+01,0,nan,nan,nan,nan,828.58464,4.5869616e-05,456.58842,6.6814726e-05,-9.9292316e-02,2.1892095e-02
2306.917026240073,5.1233131e+05,3.0106165e+01,0,4.333720e-03,828.59112,456.59547,107567,1.0301749e+06,3.0355228e+01,3.2364338e+04,1.1984597e+01,5.1233131e+05,3.0106165e+01,0,nan,nan,nan,nan,828.59112,4.6472895e-05,456.59547,6.7666835e-05,-1.0127655e-01,2.6412323e-02
2306.9374582950113,4.3951581e+05,2.9352734e+01,0,4.332175e-03,828.63340,456.61100,107568,9.5720381e+05,2.9583511e+01,3.2374918e+04,1.1989445e+01,4.3951581e+05,2.9352734e+01,0,nan,nan,nan,nan,828.63340,4.9700549e-05,456.61100,7.2182971e-05,-1.0268402e-01,3.1160286e-02
2306.9578903499496,4.2729006e+05,2.9223177e+01,0,4.330630e-03,828.63852,456.61634,107569,9.4490838e+05,2.9452238e+01,3.2374486e+04,1.1997308e+01,4.2729006e+05,2.9223177e+01,0,nan,nan,nan,nan,828.63852,5.0291073e-05,456.61634,7.3016425e-05,-1.0562181e-01,3.4128714e-02
2306.9783224039566,5.0340356e+05,3.0021757e+01,0,4.329084e-03,828.59470,456.60701,107570,1.0210366e+06,3.0266439e+01,3.2401820e+04,1.2002827e+01,5.0340356e+05,3.0021757e+01,0,nan,nan,nan,nan,828.59470,4.6875306e-05,456.60701,6.8189656e-05,-1.0558482e-01,3.4990173e-02
2306.9987544579562,5.2623238e+05,3.0250618e+01,0,4.327538e-03,828.57897,456.60627,107571,1.0438873e+06,3.0490160e+01,3.2393629e+04,1.1956924e+01,5.2623238e+05,3.0250618e+01,0,nan,nan,nan,nan,828.57897,4.5916091e-05,456.60627,6.6882174e-05,-1.0656001e-01,3.7142966e-02
2307.019186511032,5.2634031e+05,3.0250114e+01,0,4.325991e-03,828.57791,456.60599,107572,1.0439838e+06,3.0489353e+01,3.2404615e+04,1.1953426e+01,5.2634031e+05,3.0250114e+01,0,nan,nan,nan,nan,828.57791,4.5900269e-05,456.60599,6.6870860e-05,-1.0660941e-01,3.7046067e-02
2307.0396185641002,5.2656112e+05,3.0262842e+01,0,4.324444e-03,828.57849,456.60630,107573,1.0440059e+06,3.0505726e+01,3.2385625e+04,1.1992347e+01,5.2656112e+05,3.0262842e+01,0,nan,nan,nan,nan,828.57849,4.5899065e-05,456.60630,6.6859997e-05,-1.0559060e-01,3.7576012e-02
2307.06005061671,5.2601625e+05,3.0280510e+01,0,4.322897e-03,828.57888,456.60912,107574,1.0434431e+06,3.0512749e+01,3.2405447e+04,1.2028828e+01,5.2601625e+05,3.0280510e+01,0,nan,nan,nan,nan,828.57888,4.5926306e-05,456.60912,6.6905654e-05,-1.0649114e-01,4.0027216e-02
2307.0804827688553,5.2501956e+05,3.0267225e+01,0,4.321349e-03,828.57752,456.61616,107575,1.0424624e+06,3.0488655e+01,3.2398535e+04,1.1992289e+01,5.2501956e+05,3.0267225e+01,0,nan,nan,nan,nan,828.57752,4.5964112e-05,456.61616,6.6947119e-05,-1.0819299e-01,4.5890648e-02
2307.100914720533,5.2436962e+05,3.0263443e+01,0,4.319801e-03,828.57161,456.62574,107576,1.0421588e+06,3.0478306e+01,3.2422322e+04,1.1973163e+01,5.2436962e+05,3.0263443e+01,0,nan,nan,nan,nan,828.57161,4.5963712e-05,456.62574,6.6976325e-05,-1.1361676e-01,5.4274306e-02
2307.121346771739,5.2357253e+05,3.0275738e+01,0,4.318252e-03,828.56688,456.63288,107577,1.0413588e+06,3.0484415e+01,3.2390252e+04,1.2011938e+01,5.2357253e+05,3.0275738e+01,0,nan,nan,nan,nan,828.56688,4.5977380e-05,456.63288,6.7036162e-05,-1.1807822e-01,6.0415890e-02
2307.141778922487,5.2320459e+05,3.0284687e+01,0,4.316702e-03,828.56593,456.63619,107578,1.0408506e+06,3.0492722e+01,3.2425877e+04,1.2042518e+01,5.2320459e+05,3.0284687e+01,0,nan,nan,nan,nan,828.56593,4.5995974e-05,456.63619,6.7108260e-05,-1.1911435e-01,6.2610477e-02
2307.1622108727606,5.2333706e+05,3.0270515e+01,0,4.315153e-03,828.56372,456.64088,107579,1.0411187e+06,3.0469885e+01,3.2398203e+04,1.1978150e+01,5.2333706e+05,3.0270515e+01,0,nan,nan,nan,nan,828.56372,4.5982029e-05,456.64088,6.7044261e-05,-1.2113075e-01,6.7538179e-02
2307.182643023043,5.2316353e+05,3.0260248e+01,0,4.313603e-03,828.55888,456.64705,107580,1.0408835e+06,3.0468740e+01,3.2429820e+04,1.1981028e+01,5.2316353e+05,3.0260248e+01,0,nan,nan,nan,nan,828.55888,4.5986122e-05,456.64705,6.7069595e-05,-1.2652183e-01,7.2931476e-02
2307.2030750723934,5.2994388e+05,3.0340006e+01,0,4.312052e-03,828.54897,456.65305,107581,1.0476292e+06,3.0544369e+01,3.2417365e+04,1.1994689e+01,5.2994388e+05,3.0340006e+01,0,nan,nan,nan,nan,828.54897,4.5702767e-05,456.65305,6.6705768e-05,-1.3231976e-01,7.9034999e-02
2307.2235070212773,5.2856019e+05,3.0360886e+01,0,4.310501e-03,828.54449,456.66453,107582,1.0465322e+06,3.0548580e+01,3.2433254e+04,1.2028996e+01,5.2856019e+05,3.0360886e+01,0,nan,nan,nan,nan,828.54449,4.5741232e-05,456.66453,6.6778353e-05,-1.3783632e-01,8.8796966e-02
2307.2439391701555,5.2529219e+05,3.0325031e+01,0,4.308950e-03,828.53883,456.67476,107583,1.0431632e+06,3.0519773e+01,3.2433660e+04,1.2045424e+01,5.2529219e+05,3.0325031e+01,0,nan,nan,nan,nan,828.53883,4.5854438e-05,456.67476,6.6982684e-05,-1.4436246e-01,9.7608395e-02
2307.2643712185745,5.2398891e+05,3.0315567e+01,0,4.307399e-03,828.53182,456.68649,107584,1.0421205e+06,3.0493898e+01,3.2447016e+04,1.2010174e+01,5.2398891e+05,3.0315567e+01,0,nan,nan,nan,nan,828.53182,4.5877234e-05,456.68649,6.7055596e-05,-1.5169218e-01,1.0767012e-01
2307.284803166054,5.2377178e+05,3.0317350e+01,0,4.305846e-03,828.52546,456.69716,107585,1.0419265e+06,3.0495922e+01,3.2433682e+04,1.2016282e+01,5.2377178e+05,3.0317350e+01,0,nan,nan,nan,nan,828.52546,4.5874207e-05,456.69716,6.7075751e-05,-1.5820234e-01,1.1643265e-01
2307.3052353135427,5.2340381e+05,3.0305147e+01,0,4.304294e-03,828.51924,456.70592,107586,1.0416958e+06,3.0480185e+01,3.2436752e+04,1.1983548e+01,5.2340381e+05,3.0305147e+01,0,nan,nan,nan,nan,828.51924,4.5864999e-05,456.70592,6.7091569e-05,-1.6386685e-01,1.2387399e-01
2307.3256673605647,5.2304434e+05,3.0315413e+01,0,4.302741e-03,828.51911,456.70636,107587,1.0414050e+06,3.0481050e+01,3.2442768e+04,1.1991742e+01,5.2304434e+05,3.0315413e+01,0,nan,nan,nan,nan,828.51911,4.5873461e-05,456.70636,6.7107285e-05,-1.6363770e-01,1.2451240e-01
2307.3460993071203,5.2324000e+05,3.0341326e+01,0,4.301187e-03,828.52023,456.70365,107588,1.0414054e+06,3.0514423e+01,3.2413998e+04,1.2081130e+01,5.2324000e+05,3.0341326e+01,0,nan,nan,nan,nan,828.52023,4.5875542e-05,456.70365,6.7102912e-05,-1.6217123e-01,1.2217917e-01
2307.3665314532045,5.2302147e+05,3.0332506e+01,0,4.299633e-03,828.51813,456.70599,107589,1.0411843e+06,3.0500462e+01,3.2387115e+04,1.2044951e+01,5.2302147e+05,3.0332506e+01,0,nan,nan,nan,nan,828.51813,4.5877343e-05,456.70599,6.7111505e-05,-1.6362309e-01,1.2436359e-01
2307.3869634988296,5.2328716e+05,3.0341688e+01,0,4.298079e-03,828.51346,456.71141,107590,1.0416112e+06,3.0502098e+01,3.2416953e+04,1.2042160e+01,5.2328716e+05,3.0341688e+01,0,nan,nan,nan,nan,828.51346,4.5846948e-05,456.71141,6.7086999e-05,-1.6753449e-01,1.2888461e-01
