TIC_ID,GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance,absolute_mag
TIC_82525365,3972839289897271040,175.3344,16.4483,-1,12.03,12.9,2.4,0.17,22.3,16.5,3.4,83.12551953,8.3013281368167
TIC_152546618,5978754802890176768,259.1551,-34.1772,22,10.16,14.8,3.1,0.99,14.6,3.0,3.2,98.42519685,9.834468539748189
TIC_345324572,2011344115416078336,355.4766,59.8768,-1,19.81,13.7,3.1,0.72,25.6,12.9,6.7,50.47955578,10.184422377688826
TIC_178108473,236188502242012032,49.8443,39.9857,-1,12.64,15.5,3.3,0.28,37.1,15.8,9.2,79.11392405,11.008735369749203
TIC_166869904,4886831592030178944,59.1028,-31.1944,-1,26.45,13.2,3.1,0.28,34.8,37.5,10.8,37.80718336,10.31212838213397
TIC_339397736,6445465087626049920,295.7912,-60.2829,-1,17.81,13.4,2.9,0.27,27.2,24.9,9.2,56.14823133,9.653319597343796
TIC_467393247,1846416271738776832,314.7912,29.2609,-1,12.69,13.6,2.7,0.37,22.8,15.4,4.7,78.80220646,9.1173081105226
TIC_179829512,6116063498576108160,214.3859,-40.3156,22,10.14,15.5,3.3,0.71,23.0,6.3,4.9,98.61932939,10.530189774954884
TIC_129623324,5906427862850004096,221.6012,-45.6687,22,12.59,14.9,3.2,0.76,23.0,4.4,4.3,79.42811755,10.400128650638116
TIC_165941376,4944355154177076864,31.7579,-44.1107,-1,23.39,12.1,2.6,0.13,22.9,31.1,3.7,42.75331338,8.945151109136532
TIC_405508600,6061141965074631936,190.3441,-57.346,22,10.18,13.3,2.5,0.79,15.5,10.0,3.5,98.23182711,8.338738890047564
TIC_468344752,2748171662281026688,6.1468,7.5739,-1,11.0,13.9,2.8,0.21,23.1,7.6,6.2,90.90909091,9.106963425769411
TIC_426064196,5794661131496481280,237.0846,-72.5379,22,14.34,13.0,2.7,0.64,15.5,11.0,3.1,69.73500697,8.782745756767914
TIC_426064194,5794661062777003392,237.0902,-72.5399,22,14.21,14.2,3.0,0.56,22.2,7.7,4.3,70.37297678,9.962970389542235
TIC_72162112,6859532679792922624,306.3634,-19.8011,-1,17.27,13.3,3.1,1.0,7.8,3.1,2.1,57.90387956,9.486461687834687
TIC_53205995,3788509292236919680,166.5294,-4.3357,-1,13.36,13.3,2.8,0.33,17.6,7.7,3.4,74.85029940000001,8.929032290732378
TIC_168823158,6765586214428575488,291.2876,-28.0406,-1,10.68,15.2,3.0,0.22,30.7,16.6,7.7,93.6329588,10.342856263497431
TIC_11568422,5039642851928932608,19.8641,-26.3652,-1,18.22,12.3,2.6,0.58,16.5,11.0,2.4,54.88474204,8.602741863252648
TIC_52583022,3341238918520502912,84.1539,13.0101,18,10.06,14.6,3.1,1.0,11.2,2.7,2.9,99.40357853,9.61298990357392
TIC_169530372,2982682099324617728,77.9425,-17.0913,-1,18.81,14.1,3.1,0.29,34.2,25.6,7.8,53.16321106,10.471943977668074
TIC_2523668,6762966937215690752,289.1234,-27.1188,22,14.6,13.6,2.9,0.26,21.4,7.5,5.6,68.49315068,9.421764279078532
TIC_102462453,5414158429569765632,154.8231,-44.6267,-1,14.74,12.5,2.7,1.0,10.0,4.5,3.1,67.84260516,8.34248741748835
TIC_59276615,3347403678354726144,85.3478,14.07,-1,12.09,16.5,3.8,0.68,34.9,12.4,11.1,82.71298594,11.912131504272155
TIC_59276613,3347403678354726400,85.3458,14.0701,-1,12.13,16.1,3.5,0.31,43.7,7.2,6.0,82.44023083,11.51930400440257
TIC_27960225,1880060193671422720,333.4846,25.8645,-1,12.34,14.1,2.9,0.21,25.9,27.2,6.6,81.03727715,9.556575798418798
TIC_164210761,5990286858802698752,243.0213,-45.9405,-1,22.79,13.0,2.9,0.18,26.2,17.4,7.8,43.87889425,9.788721625994166
TIC_319307369,5667292948611471616,151.4926,-21.5207,-1,13.07,15.0,3.3,0.95,22.0,3.4,5.6,76.51109411,10.581377937864286
TIC_256168939,6067196013523931264,199.4837,-54.9282,22,11.97,14.5,3.0,0.26,22.3,5.4,5.3,83.54218881,9.890470751911105
TIC_12471629,2335390189483121152,3.4684,-25.5583,-1,23.58,13.1,2.9,0.2,26.9,16.0,6.8,42.40882103,9.96271900403986
TIC_399056504,3903637638657694464,187.7188,9.0923,-1,12.89,14.9,3.1,0.15,32.5,21.0,9.9,77.57951901,10.451264586682546
TIC_102390394,4120873171826938368,261.3532,-21.5093,22,10.09,14.7,3.4,1.0,3.9,1.9,0.9,99.10802775,9.71945583118998
TIC_360739385,6445708835610391936,294.6846,-59.9416,-1,12.44,14.8,3.1,0.27,28.9,6.3,7.2,80.38585209,10.27410190177487
TIC_360779428,5250988846733325312,142.993,-62.1571,22,12.75,12.8,2.6,1.0,8.0,4.2,3.0,78.43137255,8.327550923822727
TIC_178934474,6121527693405027840,209.6688,-36.9209,-1,11.23,15.1,3.2,0.27,28.8,17.8,4.9,89.04719501,10.351898781389153
TIC_394664599,5199332484776169600,159.4242,-78.8193,22,10.57,16.0,3.8,1.0,11.3,2.8,3.1,94.60737938,11.12037493643594
TIC_168553269,6765662080732001664,290.7964,-27.5697,22,12.86,14.2,2.9,0.22,26.4,33.8,8.1,77.76049767,9.746204842862408
TIC_38131307,3790448349711996416,170.2029,-2.9116,-1,10.31,12.8,2.3,0.51,17.5,13.2,3.6,96.99321048,7.866293326311617
TIC_817917128,5516293374647532928,123.7817,-47.2149,-1,13.3,13.8,2.8,0.12,30.2,27.3,17.4,75.18796992,9.419258204974405
TIC_99208855,6011535535164345216,236.7091,-35.805,-1,17.48,13.8,2.9,0.15,34.9,26.7,23.4,57.20823799,10.012707141350342
TIC_400502724,409589835361969536,24.951,55.8346,-1,10.17,13.2,2.4,0.19,21.8,67.4,2.7,98.32841691,8.23660476466866
TIC_402030604,5786748736583239168,219.087,-76.9086,22,10.36,14.6,2.9,0.4,21.6,7.9,6.9,96.52509653,9.67679877693576
TIC_333043662,1880470070989480064,337.7468,25.8015,-1,15.13,14.3,3.1,0.43,28.4,9.8,4.2,66.09385327,10.199194640170004
TIC_439333757,4889151973881979008,61.488,-28.1629,-1,15.21,14.4,3.1,0.21,33.4,12.4,7.2,65.74621959,10.310646070343385
TIC_94671603,6549418242673650432,347.391,-39.4521,-1,10.11,14.5,2.8,0.2,24.8,12.3,5.1,98.91196835,9.523755777914833
TIC_94726121,1150285086178624384,118.1235,85.3816,-1,10.82,15.2,3.1,0.15,31.6,15.7,5.3,92.42144177,10.371136303958286
TIC_110798661,6835588645136005504,320.0328,-16.7635,-1,20.68,13.2,2.9,0.26,24.8,10.5,6.6,48.35589942,9.777752672097364
TIC_458181000,4307628623372139776,286.4074,8.8551,-1,10.13,14.8,2.9,0.28,25.2,8.6,6.4,98.71668312,9.828047226789243
TIC_176841249,158651835603803136,71.9384,30.4896,18,10.23,14.6,3.0,0.95,17.6,3.5,3.4,97.75171065,9.64937816867046
TIC_257570578,4071828489252873600,282.909,-28.3096,-1,24.09,12.1,2.7,0.31,23.6,22.3,6.8,41.51100042,9.009183999735916
TIC_327666194,5855730103274382464,192.1325,-68.4817,22,10.54,13.6,2.7,0.61,11.7,4.3,2.7,94.87666034,8.71420305441825
TIC_162085246,6077824373954815744,189.0565,-53.0258,22,10.12,14.3,2.9,0.94,14.2,2.4,4.4,98.81422925,9.325902562497188
TIC_470488739,3121768086855507584,95.2899,0.239,-1,15.37,13.7,2.9,0.22,25.4,17.5,7.2,65.06180872,9.633369337441398
TIC_407999216,3298889583203665792,64.8271,7.3194,-1,12.28,15.5,3.3,0.6,30.2,8.0,9.4,81.43322476,10.94599183391109
TIC_255263387,3040167625244851712,115.648,-10.755999999999998,-1,10.65,14.2,2.7,0.17,27.1,24.0,10.3,93.89671362,9.336748038758694
TIC_150906224,2797745549200763520,4.0642,19.8572,-1,65.72,10.9,2.8,0.2,34.0,20.4,7.9,15.21606817,9.988487773527618
TIC_434111079,2431769083806305152,4.8836,-5.9116,-1,22.5,14.7,3.5,0.48,38.8,11.7,6.7,44.44444444,11.460912590773958
TIC_439734295,5948621587231767040,264.5176,-47.0148,22,11.63,15.2,3.2,0.53,24.9,7.1,4.9,85.98452279,10.527898573538662
