time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
2361.786412256385,8.7616748e+03,7.1606979e+00,5.0306632e-03,163342,1865.23680,2035.53075,7.8691240e+03,5.0702639e+00,2.2378987e+03,1.6041114e+00,8.7616748e+03,7.1606979e+00,0,nan,nan,nan,nan,1865.23680,4.4496666e-04,2035.53075,3.0817962e-04,-6.6426426e-02,-1.3434699e-02
2361.793356951919,8.7657812e+03,7.1619434e+00,5.0309175e-03,163343,1865.23794,2035.53113,7.8728325e+03,5.0711455e+00,2.2372463e+03,1.6048447e+00,8.7657812e+03,7.1619434e+00,0,nan,nan,nan,nan,1865.23794,4.4476561e-04,2035.53113,3.0807214e-04,-6.7456067e-02,-1.3539512e-02
2361.800301647453,8.7749238e+03,7.1667624e+00,5.0311717e-03,163344,1865.23692,2035.53095,7.8904409e+03,5.0745578e+00,2.2334705e+03,1.6030785e+00,8.7749238e+03,7.1667624e+00,0,nan,nan,nan,nan,1865.23692,4.4430798e-04,2035.53095,3.0764306e-04,-7.1153149e-02,-1.3217941e-02
2361.8072463425215,8.7635068e+03,7.1647367e+00,5.0314255e-03,163345,1865.23597,2035.53225,7.8813887e+03,5.0731235e+00,2.2317434e+03,1.6027864e+00,8.7635068e+03,7.1647367e+00,0,nan,nan,nan,nan,1865.23597,4.4466759e-04,2035.53225,3.0788436e-04,-6.9106631e-02,-1.1294610e-02
2361.8141910375903,8.7637959e+03,7.1616573e+00,5.0316793e-03,163346,1865.23714,2035.53248,7.8818027e+03,5.0709429e+00,2.2297371e+03,1.6028143e+00,8.7637959e+03,7.1616573e+00,0,nan,nan,nan,nan,1865.23714,4.4396988e-04,2035.53248,3.0771847e-04,-7.4634589e-02,-1.0868270e-02
2361.8211357326586,8.7774707e+03,7.1638689e+00,5.0319331e-03,163347,1865.23563,2035.53169,7.8930615e+03,5.0725088e+00,2.2283982e+03,1.6014860e+00,8.7774707e+03,7.1638689e+00,0,nan,nan,nan,nan,1865.23563,4.4367250e-04,2035.53169,3.0741881e-04,-6.9089189e-02,-1.0586754e-02
2361.828080427261,8.7598057e+03,7.1595707e+00,5.0321864e-03,163348,1865.23599,2035.53191,7.8817729e+03,5.0694656e+00,2.2237556e+03,1.6006814e+00,8.7598057e+03,7.1595707e+00,0,nan,nan,nan,nan,1865.23599,4.4400769e-04,2035.53191,3.0766806e-04,-6.8590127e-02,-1.0313991e-02
2361.8350251218635,8.7750469e+03,7.1632051e+00,5.0324397e-03,163349,1865.23579,2035.53252,7.8948008e+03,5.0720391e+00,2.2239697e+03,1.6004905e+00,8.7750469e+03,7.1632051e+00,0,nan,nan,nan,nan,1865.23579,4.4337480e-04,2035.53252,3.0732408e-04,-7.2072327e-02,-1.0782601e-02
2361.8419698159996,8.7560498e+03,7.1564832e+00,5.0326926e-03,163350,1865.23530,2035.53315,7.8744150e+03,5.0672793e+00,2.2237507e+03,1.6006042e+00,8.7560498e+03,7.1564832e+00,0,nan,nan,nan,nan,1865.23530,4.4415236e-04,2035.53315,3.0778718e-04,-6.9832087e-02,-8.0053108e-03
2361.8489145101366,8.8003838e+03,7.1659803e+00,5.0329454e-03,163351,1865.23476,2035.53228,7.9090957e+03,5.0740042e+00,2.2198113e+03,1.5994514e+00,8.8003838e+03,7.1659803e+00,0,nan,nan,nan,nan,1865.23476,4.4267406e-04,2035.53228,3.0691861e-04,-7.4027918e-02,-1.0203702e-02
2361.8558592042737,8.8108076e+03,7.1668944e+00,5.0331983e-03,163352,1865.23386,2035.53302,7.9152612e+03,5.0746512e+00,2.2189312e+03,1.6003027e+00,8.8108076e+03,7.1668944e+00,0,nan,nan,nan,nan,1865.23386,4.4226099e-04,2035.53302,3.0669186e-04,-7.0433043e-02,-8.4034735e-03
2361.862803897946,8.7789854e+03,7.1624255e+00,5.0334507e-03,163353,1865.23339,2035.53335,7.8952534e+03,5.0714869e+00,2.2211582e+03,1.5996982e+00,8.7789854e+03,7.1624255e+00,0,nan,nan,nan,nan,1865.23339,4.4322538e-04,2035.53335,3.0726599e-04,-7.1366042e-02,-8.0937343e-03
2361.8697485916173,8.7875605e+03,7.1611319e+00,5.0337031e-03,163354,1865.23367,2035.53284,7.8971396e+03,5.0705709e+00,2.2160466e+03,1.5988561e+00,8.7875605e+03,7.1611319e+00,0,nan,nan,nan,nan,1865.23367,4.4297750e-04,2035.53284,3.0715502e-04,-7.1375929e-02,-8.8008549e-03
2361.876693284823,8.7938027e+03,7.1614051e+00,5.0339550e-03,163355,1865.23334,2035.53353,7.9073311e+03,5.0707645e+00,2.2120808e+03,1.5972053e+00,8.7938027e+03,7.1614051e+00,0,nan,nan,nan,nan,1865.23334,4.4224021e-04,2035.53353,3.0678758e-04,-7.2200596e-02,-7.9472251e-03
2361.8836379780287,8.7998369e+03,7.1614404e+00,5.0342069e-03,163356,1865.23272,2035.53395,7.9070747e+03,5.0707893e+00,2.2120039e+03,1.5973346e+00,8.7998369e+03,7.1614404e+00,0,nan,nan,nan,nan,1865.23272,4.4241638e-04,2035.53395,3.0678959e-04,-7.5494871e-02,-7.1705156e-03
2361.8905826712344,8.8010771e+03,7.1628127e+00,5.0344588e-03,163357,1865.23215,2035.53450,7.9098564e+03,5.0717611e+00,2.2122634e+03,1.5973251e+00,8.8010771e+03,7.1628127e+00,0,nan,nan,nan,nan,1865.23215,4.4215174e-04,2035.53450,3.0673301e-04,-7.3760822e-02,-6.0223881e-03
