GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance
3239529836638860000,  73.8034,  4.7175,-1,4.17,17.8 ,3.5,0.34,28.3,  8.4 ,5.7 ,239.8081535
6099439604319600000,217.3498,-44.7853,22,5.96,15.6 ,3,0.94,12,  2.7 ,3.0 ,167.7852349
4154795132763960000,278.9114,-10.8489,-1,3.02,14.4 ,2.4,1,     ,     ,     ,331.1258278
5774202930948040000,266.3687,-82.198,21,6.26,16.1 ,3.1,0.9,18.2,  5.6 ,4.8 ,159.7444089
3442403338420190000,  82.6082 ,28.2391,-1,3.46,11.9 ,1.4,0.23,     ,     ,     ,289.017341
3442418800302350000,  83.0898 ,28.3245,17,5.22,16.1 ,3,0.89,15.6,  3.3 ,5.3 ,191.5708812
4154777227001090000,279.5766,-10.6085,-1,3.1,14.3 ,1.9,0.15,     ,     ,     ,322.5806452
1937498784187320000,351.8766 ,45.0985,-1,3.83,16.7 ,2.9,0.24,22.8,  9.6 ,4.3 ,261.0966057
6195524512419760000,204.7577,-21.6912,-1,11.93,13.3 ,2.6,0.56,     ,     ,     ,83.82229673
1716855559591210000,192.1970 ,78.9078,-1,7.67,15.1 ,2.9,0.46,19.9,  4.8 ,4.8 ,130.3780965
189388099044657000,  84.5144 ,37.3009,-1,6.65,14.8 ,2.7,0.41,14.9,  4.8 ,3.6 ,150.3759398
4415242224423200000,230.4132 ,-1.9982,-1,3.08,16.8 ,3.1,0.66,11,  3.0 ,3.6 ,324.6753247
5329478893033600000,131.7494,-47.5497,-1,7.63,14.1 ,2.9,1,  4.9,  2.0 ,2.2 ,131.061599
3347282006225920000,  88.7069 ,15.4706,-1,4.27,16.0 ,2.8,0.21,21.4,  7.3 ,5.8 ,234.1920375
6096013624866280000,211.7589,-46.437,22,6.33,15.8 ,3.2,0.99,11.3,  3.6 ,2.8 ,157.9778831
3972839289897270000,175.3344 ,16.4483,-1,12.03,12.9 ,2.4,0.17,22.3 ,16.5 ,3.4 ,83.12551953
3972628046225880000,174.3270 ,16.1395,-1,3.16,16.5 ,2.9,0.93,  8.8,  2.4 ,3.5 ,316.4556962
3972946389201720000,176.7609 ,17.1502,-1,5.72,15.2 ,2.8,0.24,19.2,  8.2 ,2.8 ,174.8251748
6010671151534740000,240.6394,-36.4898,22,6.05,14.7 ,2.7,1,  9.9,  3.4 ,3.4 ,165.2892562
6010671151534740000,240.6394,-36.4912,22,6.05,14.6 ,2.7,0.96,  9.0,  2.9 ,3.0 ,165.2892562
5519597750685680000,122.8601,-46.1513,  9,3.12,15.9 ,2.5,0.25,18.6 ,10.3 ,2.4 ,320.5128205
5519589573067650000,122.5066,-46.3387,  9,3.05,16.2 ,2.7,0.6,     ,     ,     ,327.8688525
6074647919231570000,188.8248,-53.8289,22,7.05,16.9 ,3.4,0.31,36.2 ,10.7 ,4.7 ,141.8439716
6010652318090530000,240.8197,-36.726,22,7.24,14.8 ,2.7,0.28,21.6,  9.5 ,5.6 ,138.121547
6074661594397230000,189.9347,-54.0745,22,7.48,15.0 ,2.8,0.38,20.8,  5.8 ,5.7 ,133.6898396
6074670424850400000,189.4281,-54.0756,22,9.33,13.6 ,2.6,0.98,14,  5.9 ,3.5 ,107.1811361
5519577444081250000,122.0554,-46.0113,  9,3.06,17.3 ,3.3,0.99,  7.3,  2.5 ,2.6 ,326.7973856
5519567857714120000,121.7406,-46.2153,19,6.1,15.4 ,2.9,0.99,13.7,  2.7 ,4.0 ,163.9344262
5519572564998240000,121.7359,-46.1667,  9,3.01,16.4 ,2.9,0.97,  8.1,  2.6 ,3.6 ,332.2259136
6010690289909580000,240.2483,-36.572,22,5.55,16.6 ,3.1,0.26,27.5,  7.8 ,5.8 ,180.1801802
6017592336735360000,249.4165,-38.8135,22,5.6,15.2 ,3.1,1,  4.6,  2.2 ,2.0 ,178.5714286
6004604694900140000,227.4176,-42.0518,22,6.97,17.8 ,3.8,0.24,49.0 ,11.6 ,9.8 ,143.472023
6059835539127870000,191.2109,-58.7759,22,9.18,15.8 ,3.2,0.23,33.3 ,21.7 ,6.5 ,108.9324619
6059846877842430000,192.1755,-58.639,22,8.55,14.4 ,2.8,0.73,15,  2.2 ,4.4 ,116.9590643
6017588969480720000,249.117,-38.866,22,7.01,17.6 ,4.4,1,     ,     ,     ,142.6533524
6017592401126410000,249.4445,-38.8125,22,6.02,13.9 ,2.4,1,  8.0,  4.1 ,2.3 ,166.1129568
6017601338986570000,249.1415,-38.802,22,5.72,17.1 ,3.5,0.89,16.6,  3.6 ,4.7 ,174.8251748
4793096262961730000,  84.8958,-51.2988,-1,4.56,16.2 ,2.9,0.2,25.1 ,17.4 ,5.6 ,219.2982456
6017602747735920000,249.0521,-38.7339,22,5.89,15.1 ,2.7,0.32,18.2,  8.4 ,2.2 ,169.7792869
6017590206431290000,249.2714,-38.7962,22,5.91,14.4 ,2.4,0.2,17.1,  3.0 ,3.4 ,169.2047377
6017592126248460000,249.4659,-38.8358,22,5.82,15.7 ,3,0.89,14.3,  2.6 ,4.6 ,171.8213058
6059832274952990000,191.2686,-58.8146,-1,4.82,16.2 ,2.9,0.2,24.6 ,16.9 ,8.7 ,207.4688797
6059825467381580000,191.1002,-58.9227,22,9,  9.8 ,1.3,1,  3.0,  0.9 ,0.8 ,111.1111111
5521551136174710000,128.675,-46.76,-1,5.73,17.8 ,3.6,0.21,45.8 ,17.1,10.1 ,174.5200698
1910120841574180000,350.0947 ,31.9164,-1,3.84,17.3 ,3.2,0.34,21.2,  8.2 ,4.3 ,260.4166667
2274385504804060000,308.8758 ,70.3739,-1,3.21,16.2 ,3.5,1,  2.1,  0.4 ,1.4 ,311.5264798
2274352382016240000,308.2268 ,70.0972,-1,4.43,16.8 ,2.9,0.14,29.9 ,17.7,11.5 ,225.7336343
2274314586303360000,323.4451 ,75.1356,  8,6.12,16.1 ,3.1,0.73,19.4,  3.9 ,4.4 ,163.3986928
6067161859948690000,201.7991,-54.1192,22,6.97,14.7 ,2.7,0.64,14.1,  5.8 ,2.0 ,143.472023
6067137292734930000,201.1985,-54.3242,22,9.64,15.0 ,3.2,1,13.4,  3.2 ,3.0 ,103.7344398
6067137224015450000,201.2093,-54.3402,22,8.37,11.4 ,1.6,0.44,     ,     ,     ,119.474313
5342657845578640000,174.5575,-56.9636,-1,3.62,16.0 ,2.6,0.13,24.0 ,72.1 ,4.7 ,276.2430939
4221205085283800000,300.7004 ,-4.5962,  7,7.32,14.6 ,2.7,0.16,22.5 ,36.0 ,2.9 ,136.6120219
6899031982182540000,320.4200 ,-6.6774,-1,3.3,15.7 ,2.5,0.19,18.9,  8.5 ,3.2 ,303.030303
6149141309462120000,183.1962,-41.1872,22,7.98,17.3 ,3.8,0.63,35.5 ,13.6 ,9.3 ,125.3132832
3558088110738370000,169.093,-18.011,-1,4.68,16.4 ,3.1,0.55,17.7,  4.7 ,4.1 ,213.6752137
2183232039501500000,309.3242 ,53.8501,11,3.13,17.4 ,3.1,0.23,21.2,  6.2 ,6.8 ,319.4888179
2014446078236560000,344.4738 ,60.074,-1,3.42,15.5 ,3.1,1,     ,     ,     ,292.3976608
2183208262561750000,308.7926 ,53.4307,-1,4.97,16.5 ,3,0.25,26.7 ,12.9 ,7.9 ,201.2072435
961621294718627000,  94.3186 ,42.8415,-1,3.08,16.6 ,2.7,0.14,23.9 ,78.1 ,4.1 ,324.6753247
219790145308536000,  58.0092 ,35.855,-1,5.75,16.3 ,3.1,0.66,19.8,  4.8 ,3.6 ,173.9130435
219792962807340000,  57.9758 ,35.8426,-1,3.06,17.2 ,3,0.23,20.1,  6.0 ,4.5 ,326.7973856
219748810543531000,  58.4410 ,35.6491,15,3.99,16.3 ,3.1,0.86,  9.3,  2.4 ,3.7 ,250.6265664
219755751210562000,  58.8532 ,35.8791,15,3.44,17.1 ,3.2,0.58,14.3,  2.9 ,4.8 ,290.6976744
219811585785201000,  58.3954 ,36.0909,15,3.57,16.0 ,3,1,  4.2,  2.0 ,1.5 ,280.1120448
219863572068354000,  56.8822 ,35.4932,-1,4.37,16.6 ,3,0.3,21.6,  8.5 ,5.6 ,228.8329519
3558426657240790000,170.0754,-17.9388,-1,6.53,15.8 ,3,0.33,23.1,  6.5 ,4.9 ,153.1393568
3343603353853380000,  90.2823 ,13.4184,-1,8.92,16.1 ,3.2,0.19,38.1 ,17.0 ,7.4 ,112.1076233
6076396177076780000,186.7446,-53.6308,22,7.33,13.4 ,2.3,0.15,15.9,  4.5 ,3.6 ,136.425648
77007084285637800,  30.6868 ,13.5755,-1,25.87,12.8 ,3,0.51,     ,     ,     ,38.65481252
709183183145673000,126.5439 ,31.6193,-1,3.3,16.2 ,2.6,0.26,18.9 ,10.6 ,2.9 ,303.030303
709079760333245000,126.3674 ,31.2568,-1,3.25,16.9 ,2.9,0.14,27.6 ,18.1 ,7.3 ,307.6923077
709192460275015000,126.7715 ,31.8314,-1,4.54,15.5 ,2.6,0.12,25.6 ,28.2 ,6.6 ,220.2643172
2946830942156220000,  99.4683,-16.7348,  6,5.13,16.8 ,3.4,1,10.5,  2.6 ,2.6 ,194.9317739
4111998841692210000,256.2708,-26.1904,22,8.59,14.8 ,3.1,1,10.3,  2.7 ,2.9 ,116.4144354
6005567287273380000,230.8282,-41.2704,22,6.33,15.9 ,3.2,1,13,  2.7 ,3.1 ,157.9778831
6005576117726250000,230.476,-41.2616,22,7.09,16.3 ,3.2,0.52,25,  6.4 ,5.3 ,141.0437236
6005607896187480000,230.741,-41.0409,22,6.76,15.6 ,3,0.76,17.2,  3.1 ,3.4 ,147.9289941
2013193665778360000,344.0142 ,58.1959,-1,4.08,  7.0,-0.1,0.38,     ,     ,     ,245.0980392
5244706164260010000,153.8877,-67.6595,14,3.46,17.4 ,3.1,0.14,30.6 ,30.4 ,8.5 ,289.017341
5837888190620530000,181.3714,-76.0145,22,9.4,17.5 ,4,0.32,     ,     ,     ,106.3829787
1760751735968900000,317.0262 ,15.9937,-1,3.51,15.2 ,2.3,0.11,21.2 ,99.0 ,5.4 ,284.9002849
252676847332999000,  68.6868 ,44.0449,-1,3.49,14.1 ,1.8,0.12,  8.7 ,23.5 ,2.7 ,286.5329513
4171418717746440000,271.1151 ,-6.4182,-1,5.33,17.0 ,3.4,0.6,19.5,  5.2 ,4.5 ,187.6172608
252663000358380000,  69.0290 ,44.0515,16,7.26,16.2 ,3.3,0.94,19,  2.0 ,5.6 ,137.7410468
6203360942248420000,222.6397,-34.342,22,9.2,14.3 ,2.8,0.54,16.8,  5.3 ,3.5 ,108.6956522
5837913307589870000,184.2661,-75.6022,-1,4.9,16.2 ,3,0.52,16.6,  4.3 ,4.0 ,204.0816327
6203405025792920000,222.9819,-33.952,22,6.47,18.0 ,3.9,0.28,44.1 ,12.8 ,9.7 ,154.5595054
463006584139846000,  48.7151 ,60.8368,16,6.29,14.9 ,2.7,0.83,15.2,  5.3 ,3.5 ,158.9825119
5896254803323120000,215.9834,-53.6086,22,7.29,16.0 ,3.7,1,  5.1,  2.3 ,1.6 ,137.1742112
4171467955253970000,268.7698 ,-8.2308,-1,3.16,13.8 ,1.9,0.16,     ,     ,     ,316.4556962
4171414457137820000,270.8132 ,-6.4992,-1,3.41,13.7 ,1.9,0.28,  7.8,  4.4 ,1.3 ,293.255132
5978743528577950000,259.169,-34.3885,22,7.39,16.8 ,3.4,0.3,34.8 ,13.1,11.3 ,135.3179973
5978754802890170000,259.1551,-34.1772,22,10.16,14.8 ,3.1,0.99,14.6,  3.0 ,3.2 ,98.42519685
2080580049080320000,296.2292 ,47.3274,-1,3.04,17.6 ,3.1,0.23,24.1,  6.8 ,6.6 ,328.9473684
561737127674234000,  39.9038 ,78.9561,-1,4.44,16.4 ,2.9,0.27,22.1 ,11.6 ,5.7 ,225.2252252
2011302402693160000,353.7006 ,59.312,-1,4.51,16.4 ,3.1,0.84,13.9,  2.8 ,3.6 ,221.72949
2011344115416070000,355.4766 ,59.8768,-1,19.81,13.7 ,3.1,0.72,25.6 ,12.9 ,6.7 ,50.47955578
1866056882310620000,313.4457 ,33.0729,-1,8.97,13.0 ,2.3,0.26,16.4,  4.5 ,3.4 ,111.4827202
236157058784796000,  51.3314 ,40.9533,-1,4.29,  7.2,-0.1,0.31,     ,     ,     ,233.1002331
4205907545663280000,287.0341 ,-6.4394,-1,4.02,11.5 ,1.4,0.99,     ,     ,     ,248.7562189
236188502242012000,  49.8443 ,39.9857,-1,12.64,15.5 ,3.3,0.28,37.1 ,15.8 ,9.2 ,79.11392405
5855710445174360000,191.9969,-68.7337,21,5.41,11.1 ,1.3,1,     ,     ,     ,184.8428835
5855713370080730000,191.7307,-68.7251,22,9.74,14.0 ,2.8,1,11.1,  2.9 ,4.3 ,102.6694045
5855695468655860000,190.2162,-68.9496,22,9.87,11.4 ,2,1,  3.4,  0.9 ,0.2 ,101.3171226
4269915786852580000,275.4314 ,-3.0251,-1,3.23,16.0 ,2.7,0.41,13,  2.8 ,2.9 ,309.5975232
4269910525516530000,275.1422 ,-3.1649,-1,3.45,13.1 ,1.9,1,     ,     ,     ,289.8550725
4269912282159290000,275.3098 ,-3.0675,-1,3.6,14.9 ,2.2,0.11,12.6 ,23.7 ,3.2 ,277.7777778
4269956533204280000,275.8163 ,-2.5997,-1,3.15,11.8 ,1.6,0.15,     ,     ,     ,317.4603175
6748753790917500000,300.9878,-31.8695,-1,6.27,16.2 ,3.1,0.37,25.6,  9.4 ,6.0 ,159.4896332
6748777632278990000,300.9397,-31.6419,-1,3.4,11.3 ,1.5,0.21,     ,     ,     ,294.1176471
4575548167896000000,258.6670 ,29.1453,-1,3.05,17.5 ,3.1,0.45,17.2,  4.2 ,4.2 ,327.8688525
3149583188417460000,113.7054,  9.8318,-1,6.9,14.3 ,2.5,0.2,19.7,  9.1 ,3.7 ,144.9275362
4724576077002830000,  38.7744,-62.3993,-1,5.03,  8.2 ,0,0.3,     ,     ,     ,198.8071571
5957457739378400000,265.5366,-42.0834,22,8.37,16.0 ,3.3,0.57,22.9,  4.3 ,4.1 ,119.474313
5516154561303820000,122.244,-48.2355,-1,3.96,16.2 ,3,0.96,10.7,  1.6 ,3.9 ,252.5252525
5516157516241520000,122.2309,-48.2124,-1,3.49,17.1 ,3,0.35,20.1,  7.6 ,7.1 ,286.5329513
5516150575574100000,122.6792,-48.0844,20,5.51,16.7 ,3.1,0.17,31.9 ,22.6 ,9.9 ,181.4882033
5516157172643820000,122.4907,-48.0816,  9,3.03,16.7 ,2.8,0.41,16.8,  6.0 ,3.6 ,330.0330033
5516162498403290000,122.5988,-48.0656,-1,3.77,  8.6 ,0,0.27,     ,     ,     ,265.2519894
5516171535015490000,122.9995,-48.0429,-1,3.2,17.2 ,3.1,0.32,19.7,  5.4 ,4.9 ,312.5
5516179128517540000,123.0553,-47.7908,-1,3.04,16.4 ,2.8,0.67,12.4,  3.9 ,2.8 ,328.9473684
1980991581544800000,327.2305 ,52.2389,10,3.49,16.5 ,2.9,0.43,16.4,  6.9 ,4.1 ,286.5329513
454060304703555000,  38.7444 ,54.18,-1,4.43,16.5 ,3,0.51,17.9,  4.0 ,5.6 ,225.7336343
4887005074348950000,  60.8035,-30.9455,-1,3.96,16.3 ,2.7,0.13,28.0 ,15.0 ,7.9 ,252.5252525
4886831592030170000,  59.1028,-31.1944,-1,26.45,13.2 ,3.1,0.28,34.8 ,37.5,10.8 ,37.80718336
5236296171620600000,176.607,-66.6931,22,9.31,13.8 ,3,1,  2.6,  0.9 ,0.5 ,107.4113856
3479243467643970000,177.5395,-31.6498,-1,3.68,16.7 ,3.1,0.83,13.4,  2.6 ,3.6 ,271.7391304
4159532997057160000,275.9488 ,-7.998,-1,3.55,16.0 ,2.9,0.77,10.2,  1.5 ,3.1 ,281.6901408
1262387134217510000,224.3015 ,22.2462,-1,5.62,15.0 ,2.7,0.28,18.7,  7.6 ,2.3 ,177.9359431
4159548218420910000,276.1026 ,-7.7281,-1,3.07,13.1 ,2.6,1,     ,     ,     ,325.732899
4159535196080010000,276.0443 ,-7.9194,-1,3.2,16.9 ,3.1,0.45,13.7,  4.1 ,3.0 ,312.5
4159554403173950000,275.7679 ,-7.7838,-1,4.17,13.1 ,2.6,1,     ,     ,     ,239.8081535
4159547874823880000,276.1681 ,-7.7197,-1,3.42,15.5 ,2.7,0.77,  8.6,  4.0 ,2.4 ,292.3976608
315978377440544000,  24.4231 ,32.4366,-1,5.38,16.6 ,3.2,0.46,23.1,  8.7 ,4.0 ,185.8736059
4159530282636550000,275.6499 ,-7.8636,-1,6.51,15.4 ,2.8,0.15,23.9 ,13.7 ,7.7 ,153.609831
4159530759360830000,275.5899 ,-7.8546,-1,3.04,14.6 ,2.4,1,  3.0,  0.6 ,0.3 ,328.9473684
4159534092259910000,276.0883 ,-7.9561,-1,3.7,13.5 ,2.1,1,  2.7,  1.2 ,0.6 ,270.2702703
4159569620224830000,275.4141 ,-7.9543,-1,3.56,15.0 ,2.4,0.16,12.6 ,41.0 ,3.3 ,280.8988764
3099296508730810000,103.5054 ,-6.9245,26,3.55,  8.3,-0.1,0.26,     ,     ,     ,281.6901408
3099314440211720000,103.4337 ,-6.7899,26,3.56,13.4 ,1.7,0.77,     ,     ,     ,280.8988764
5901994219673850000,228.4315,-50.7831,22,6.96,16.9 ,3.5,0.61,28.1,  4.6 ,5.3 ,143.6781609
4159550138257650000,275.8173 ,-7.8623,-1,4.34,12.2 ,1.6,0.95,     ,     ,     ,230.4147465
6163273194974250000,204.9288,-37.8769,-1,5.97,15.9 ,2.8,0.13,29.1 ,36.9,10.0 ,167.5041876
3099314203996040000,103.3364 ,-6.7532,26,3.18,16.9 ,2.8,0.19,23.5 ,12.1 ,7.3 ,314.4654088
