name,orbital_period,radius,semi_major_axis,star_name,ra,dec,star_distance
Kepler-1000 b,120.0181272,0.425,,Kepler-1000,286.685523,47.098221,925.0
Kepler-1002 b,4.33642933,0.153,,Kepler-1002,293.079495,43.073715,425.0
Kepler-1003 b,3.55485691,0.159,,Kepler-1003,292.020456,44.876217,873.0
Kepler-1004 b,5.28789787,0.56,,Kepler-1004,297.359299,49.79755,1080.0
Kepler-1005 b,6.49801525,0.134,,Kepler-1005,286.286014,43.320461,515.0
Kepler-1006 b,19.76172042,0.137,,Kepler-1006,295.754127,42.537476,496.0
Kepler-1007 b,5.18500207,0.128,,Kepler-1007,295.906552,45.80912,365.0
Kepler-1008 b,12.43931193,0.114,,Kepler-1008,296.547525,44.941933,299.0
Kepler-1009 b,11.35011917,0.194,,Kepler-1009,282.85993,42.665764,281.0
Kepler-1010 b,34.2685705,0.207,,Kepler-1010,289.192636,44.149326,610.0
Kepler-1011 b,5.75322197,0.256,,Kepler-1011,297.401546,46.824001,860.0
Kepler-1012 b,5.50860439,0.115,,Kepler-1012,289.29627,46.457954,420.0
Kepler-1013 b,18.93054959,0.192,,Kepler-1013,290.248072,44.435242,433.0
Kepler-1014 b,16.57110363,0.213,,Kepler-1014,285.122033,44.110603,672.0
Kepler-1015 b,16.00494214,0.317,,Kepler-1015,292.75733,43.42691,932.0
Kepler-1017 b,7.23400469,0.178,,Kepler-1017,283.469362,40.132607,554.0
Kepler-1018 b,49.1013514,0.23,,Kepler-1018,283.596696,45.407879,894.0
Kepler-1019 b,1.41122985,0.13,,Kepler-1019,283.717526,47.204449,198.0
Kepler-1020 b,96.9151496,0.203,,Kepler-1020,292.672551,46.377422,446.0
Kepler-1021 b,13.47469571,0.208,,Kepler-1021,295.204905,42.559681,837.0
Kepler-1022 b,10.99469878,0.211,,Kepler-1022,289.352005,46.973728,455.0
Kepler-1023 b,62.1387714,0.235,,Kepler-1023,289.029742,49.769707,686.0
Kepler-1024 b,66.4162133,0.349,,Kepler-1024,291.950991,38.251698,1017.0
Kepler-1025 b,37.3229493,0.177,,Kepler-1025,284.510201,43.961666,716.0
Kepler-1026 b,36.5156053,0.197,,Kepler-1026,283.605263,39.99798,389.0
Kepler-1027 b,1.9078052,0.079,,Kepler-1027,287.571185,42.813923,291.0
Kepler-1028 b,2.51462432,0.119,,Kepler-1028,289.593097,49.781158,633.0
Kepler-1029 b,4.41769648,0.112,,Kepler-1029,292.132976,41.54754,422.0
Kepler-1030 b,19.32952416,0.221,,Kepler-1030,293.681915,45.817559,795.0
Kepler-1031 b,1.22621732,0.078,,Kepler-1031,296.089747,48.955376,741.0
Kepler-1032 b,3.29011795,0.167,,Kepler-1032,289.930872,40.097751,607.0
Kepler-1033 b,7.56052806,0.224,,Kepler-1033,283.845142,44.609093,1425.0
Kepler-1034 b,12.12400943,0.202,,Kepler-1034,286.115368,37.966997,706.0
Kepler-1035 b,2.71407755,0.104,,Kepler-1035,289.042225,42.882488,408.0
Kepler-1036 b,122.8808058,0.269,,Kepler-1036,295.181638,49.945786,507.0
Kepler-1037 b,1.06378867,0.114,,Kepler-1037,296.341029,47.170856,451.0
Kepler-1038 b,148.4603382,0.315,,Kepler-1038,298.972184,44.132378,622.0
Kepler-1039 b,0.93488424,0.13,,Kepler-1039,298.326591,45.315514,324.0
Kepler-1040 b,201.1214,0.186,,Kepler-1040,283.113784,48.131393,473.0
Kepler-1041 b,24.7576421,0.262,,Kepler-1041,293.881768,49.683155,979.0
Kepler-1042 b,10.13202575,0.195,,Kepler-1042,288.668933,39.824006,659.0
Kepler-1043 b,38.5053398,0.227,,Kepler-1043,281.662983,47.568584,838.0
Kepler-1044 b,6.77408868,0.238,,Kepler-1044,293.144456,46.666237,1507.0
Kepler-1045 b,26.41045478,0.24,,Kepler-1045,284.183296,45.074104,971.0
Kepler-1046 b,14.37508035,0.153,,Kepler-1046,296.755759,46.998291,518.0
Kepler-1048 b,6.92101021,0.144,,Kepler-1048,281.898352,42.165787,415.0
Kepler-1049 b,3.27346074,0.085,,Kepler-1049,287.346741,47.772957,129.0
Kepler-1051 b,25.96200249,0.303,,Kepler-1051,295.158106,40.898849,1021.0
Kepler-1052 b,34.8538276,0.261,,Kepler-1052,295.342731,46.602264,1051.0
Kepler-1053 b,2.41435165,0.087,,Kepler-1053,291.418635,39.127415,171.0
Kepler-1054 b,4.30655689,0.235,,Kepler-1054,290.601152,44.556385,1050.0
Kepler-1055 b,2.29503623,0.11,,Kepler-1055,290.486779,44.932617,422.0
Kepler-1056 b,27.495606,0.269,,Kepler-1056,299.52598,46.899261,971.0
Kepler-1057 b,14.08827448,0.3,,Kepler-1057,297.452152,41.558124,1462.0
Kepler-1058 b,110.96546,0.243,,Kepler-1058,294.595783,45.875034,525.0
Kepler-1059 b,3.76419105,0.154,,Kepler-1059,289.220209,41.706486,673.0
Kepler-1060 b,46.8779367,0.212,,Kepler-1060,286.025189,39.630929,861.0
Kepler-1061 b,2.75798267,0.177,,Kepler-1061,296.230004,50.27523,585.0
Kepler-1062 b,9.30412078,0.157,,Kepler-1062,283.899402,41.221607,388.0
Kepler-1063 b,14.07971466,0.133,,Kepler-1063,290.52675,38.142973,365.0
Kepler-1064 b,16.54080322,0.138,,Kepler-1064,291.741637,37.688934,374.0
Kepler-1066 b,1.93155984,0.211,,Kepler-1066,298.866564,46.502239,399.0
Kepler-1067 b,0.76212926,0.071,,Kepler-1067,285.387409,45.049053,689.0
Kepler-1068 b,16.92344113,0.324,,Kepler-1068,294.648164,46.392365,1532.0
Kepler-1069 b,23.8990296,0.143,,Kepler-1069,290.979329,47.989002,435.0
Kepler-1070 b,6.2216147,0.154,,Kepler-1070,293.195374,49.316502,1040.0
Kepler-1071 b,6.1799844,0.212,,Kepler-1071,293.057996,45.248817,964.0
Kepler-1072 b,1.5690665,0.141,,Kepler-1072,292.04438,46.329025,976.0
Kepler-1074 b,5.94566534,0.112,,Kepler-1074,284.476545,46.252579,245.0
Kepler-1075 b,1.52372816,0.127,,Kepler-1075,287.501179,47.469269,265.0
Kepler-1076 b,6.14727918,0.071,,Kepler-1076,287.590098,51.060574,199.0
Kepler-1077 b,34.3511874,0.247,,Kepler-1077,291.033636,42.26786,1098.0
Kepler-1078 b,3.00725242,0.17,,Kepler-1078,293.200589,43.050037,1215.0
Kepler-1079 b,13.24503188,0.145,,Kepler-1079,299.549499,45.769753,481.0
Kepler-1080 b,77.2548396,0.293,,Kepler-1080,296.464522,49.182915,688.0
Kepler-1081 b,3.85691855,0.09,,Kepler-1081,289.44452,41.317757,425.0
Kepler-1082 b,1.5432066,0.1,,Kepler-1082,289.358672,50.598484,628.0
Kepler-1083 b,33.4177993,0.3,,Kepler-1083,283.161951,45.198315,912.0
Kepler-1084 b,2.05333679,0.099,,Kepler-1084,290.101971,48.251137,427.0
Kepler-1087 b,0.69384285,0.054,,Kepler-1087,294.978825,46.005653,354.0
Kepler-1088 b,23.12748644,0.127,,Kepler-1088,281.561453,42.450504,300.0
Kepler-1089 b,5.13248562,0.163,,Kepler-1089,291.092742,49.190059,227.0
Kepler-1090 b,198.680179,0.201,,Kepler-1090,295.662872,44.525845,702.0
Kepler-1091 b,1.43474156,0.13,,Kepler-1091,299.785465,43.670753,915.0
Kepler-1092 b,58.6017925,0.185,,Kepler-1092,297.72314,47.112659,914.0
Kepler-1094 b,78.1000231,0.284,,Kepler-1094,292.301253,38.267041,1371.0
Kepler-1095 b,4.27103091,0.108,,Kepler-1095,293.262447,41.365114,758.0
Kepler-1096 b,2.89221751,0.111,,Kepler-1096,294.70938,45.969501,344.0
Kepler-1097 b,187.747029,0.291,,Kepler-1097,281.594148,42.596416,738.0
Kepler-1098 b,2.54307286,0.116,,Kepler-1098,295.502705,43.232796,876.0
Kepler-1099 b,2.16845259,0.252,,Kepler-1099,288.749962,48.277176,1209.0
Kepler-1100 b,6.42200058,0.156,,Kepler-1100,291.871356,44.087376,940.0
Kepler-1101 b,81.3151059,0.22,,Kepler-1101,294.569379,45.671257,897.0
Kepler-1102 b,51.3285623,0.237,,Kepler-1102,281.322565,48.066505,986.0
Kepler-1103 b,19.79191978,0.203,,Kepler-1103,287.38209,49.452396,921.0
Kepler-1104 b,5.03728015,0.11,,Kepler-1104,294.468554,49.331024,516.0
Kepler-1105 b,4.42157218,0.179,,Kepler-1105,281.111771,42.454931,369.0
Kepler-1106 b,1.25275217,0.147,,Kepler-1106,291.145201,44.062546,1168.0
Kepler-1107 b,0.57103852,0.12,,Kepler-1107,291.049927,39.141674,457.0
Kepler-1108 b,4.51005748,0.13,,Kepler-1108,296.042339,45.985146,764.0
Kepler-1109 b,37.6467384,0.195,,Kepler-1109,291.646244,39.396624,797.0
Kepler-1110 b,9.69312032,0.237,,Kepler-1110,291.808022,38.622703,726.0
Kepler-1111 b,8.79617863,0.178,,Kepler-1111,295.463372,45.812744,1142.0
Kepler-1112 b,14.36267939,0.269,,Kepler-1112,296.968815,47.751488,1734.0
Kepler-1113 b,42.3004954,0.251,,Kepler-1113,289.406695,39.338834,1127.0
Kepler-1114 b,14.97435694,0.12,,Kepler-1114,299.236933,45.834698,427.0
Kepler-1115 b,23.5540725,0.152,,Kepler-1115,294.991772,40.144409,935.0
Kepler-1116 b,41.6977827,0.227,,Kepler-1116,291.933655,44.115505,1017.0
Kepler-1117 b,4.79028459,0.099,,Kepler-1117,292.08478,49.23748,619.0
Kepler-1118 b,38.6715075,0.244,,Kepler-1118,299.965664,44.160896,818.0
Kepler-1119 b,8.3265153,0.171,,Kepler-1119,297.019131,44.327522,1288.0
Kepler-1120 b,2.94902905,0.123,,Kepler-1120,290.914483,42.286579,635.0
Kepler-1121 b,13.15141081,0.17,,Kepler-1121,297.786606,47.886127,529.0
Kepler-1122 b,42.1917357,0.182,,Kepler-1122,288.280535,46.340904,924.0
