DR2Name,RA_ICRS,DE_ICRS,Plx,Gmag,BPmag,RPmag,BP-RP
GaiaDR24295806720,044.99615368416,+00.00561580621,0.0714,17.6539,18.1133,17.0591,1.0542
GaiaDR238655544960,045.00497424498,+00.01987700037,3.1213,14.1405,14.7319,13.4220,1.3099
GaiaDR234361129088,045.00431616421,+00.02104503269,3.4868,17.6040,18.8535,16.4281,2.4254
GaiaDR2309238066432,044.99503703933,+00.03815183599,1.5788,19.6371,21.0905,18.3851,2.7054
GaiaDR2343597448960,044.96389532530,+00.04359518482,0.1124,18.1485,18.7278,17.4364,1.2913
GaiaDR2515396233856,044.99832632512,+00.06633376572,-0.3200,19.4704,19.9189,18.8082,1.1107
GaiaDR2549755818112,045.04828219159,+00.04825622322,1.5757,15.0038,15.5659,14.2959,1.2701
GaiaDR2828929527040,045.02361786160,+00.06842024222,1.1501,16.5971,17.2845,15.8047,1.4797
GaiaDR2927713095040,045.02672638278,+00.08169949145,,19.4046,20.2608,18.3631,1.8977
GaiaDR2966367933184,045.03908018543,+00.08685440090,1.6408,20.0051,21.4754,18.7941,2.6813
GaiaDR21099511693312,044.96654570459,+00.04630936452,-0.6261,19.2976,19.9030,18.5239,1.3792
GaiaDR21275606125952,044.99327098082,+00.07633493647,0.6361,16.2466,16.6971,15.6451,1.0520
GaiaDR21340029955712,044.96907637680,+00.08442555408,0.4029,17.7962,18.3815,17.0659,1.3156
GaiaDR21340029956224,044.97846147570,+00.09257944110,0.0769,18.6474,19.3734,17.8837,1.4897
GaiaDR21374389600384,044.93280141787,+00.06481031385,1.8251,18.3987,19.6459,17.2909,2.3550
GaiaDR21511828647680,044.95265081906,+00.08495195173,-0.4398,19.2416,19.4625,18.5746,0.8879
GaiaDR21619203481984,044.95115617410,+00.10531067807,1.7507,17.9148,19.2407,16.7582,2.4825
GaiaDR21653563247744,044.99606023501,+00.08491981260,0.3235,16.1618,16.4413,15.6821,0.7592
GaiaDR21683627775360,045.01378903978,+00.08773871772,2.6212,19.8261,21.6027,18.4039,3.1988
GaiaDR21717987078400,044.98309696749,+00.09640845088,2.8510,18.6534,20.0632,17.3843,2.6789
GaiaDR21752346816896,045.00503996709,+00.10193674955,1.0502,19.1044,20.2605,18.0473,2.2132
GaiaDR21786706818304,045.02920046536,+00.10384390379,2.9070,20.7186,20.6574,19.3980,1.2594
GaiaDR22130304202496,044.98413128324,+00.12768701713,,20.7420,21.1198,19.3769,1.7430
GaiaDR22199023259904,045.09557840983,+00.08530816059,-0.0109,18.2528,18.6324,17.6552,0.9772
GaiaDR22199023292160,045.08136103596,+00.08170742848,,20.5102,21.0058,19.2207,1.7852
GaiaDR22267742736896,045.07902955548,+00.08648947791,0.7469,20.4067,21.1444,19.4692,1.6752
GaiaDR22336462213888,045.10466351169,+00.09851756888,0.4882,19.0886,19.4054,18.5822,0.8232
GaiaDR22405181690752,045.09616755070,+00.10542287370,0.4590,19.7404,20.4999,18.7964,1.7035
GaiaDR22546916445184,045.05702841559,+00.11498182404,0.1697,17.8774,18.3506,17.2490,1.1017
GaiaDR22748779106176,045.14048531085,+00.12084465099,0.1657,19.7194,20.8661,18.5028,2.3633
GaiaDR22753074326400,045.12196914185,+00.12168342973,0.4966,20.0391,20.7680,18.8858,1.8822
GaiaDR22817498603520,045.12499691540,+00.12599424220,,20.7762,21.7973,19.5081,2.2892
GaiaDR22821794351744,045.12415123973,+00.13677790535,,17.7142,18.7460,16.3732,2.3728
GaiaDR22851858288640,045.13214374785,+00.13785096598,2.6188,12.3635,12.6954,11.8766,0.8188
GaiaDR22886218060160,045.15639221101,+00.14604902867,,20.5278,21.7538,19.3409,2.4129
GaiaDR22920577765120,045.16465304820,+00.15450184011,0.5494,15.3169,15.7054,14.7711,0.9343
GaiaDR22989297243520,045.15177891699,+00.15411466351,-1.0757,19.9307,20.2801,19.1742,1.1059
GaiaDR22989297243776,045.14638432526,+00.16035546034,2.1327,17.9044,19.1763,16.8068,2.3695
GaiaDR23062312520192,045.11664867702,+00.14471993388,0.5784,15.1932,15.5579,14.6518,0.9061
GaiaDR23058016772224,045.12994872613,+00.14781648186,4.9369,20.2146,22.0192,18.8020,3.2172
GaiaDR23332894779520,045.05816745630,+00.12740379563,1.7423,12.5193,13.0813,11.8373,1.2440
GaiaDR23371550165888,045.03360726996,+00.12855408408,1.7657,14.5742,15.1076,13.8915,1.2161
GaiaDR23435974261120,045.06731863358,+00.14490113553,,20.3004,20.9557,19.2254,1.7303
GaiaDR23470333738112,045.07550476114,+00.15231639979,0.8328,20.6885,20.9493,20.0016,0.9478
GaiaDR23508989119232,045.05595245784,+00.14611160108,1.0710,15.1734,15.5896,14.5820,1.0076
GaiaDR23607772690688,045.03182519785,+00.14417677582,1.1949,19.0200,20.0569,18.0347,2.0222
GaiaDR23676493398016,045.01995117378,+00.16376890992,1.7478,19.4932,21.0154,18.1200,2.8954
GaiaDR23676492169728,045.01912041034,+00.16323908374,,20.0400,,,
GaiaDR23745211647360,045.06163798368,+00.17097451439,-0.7117,19.2709,20.1712,18.2335,1.9377
GaiaDR23779572614144,045.02390681253,+00.16734769508,,21.1124,,,
GaiaDR23917010338944,045.08368084628,+00.16935540512,1.0360,17.4058,18.1318,16.5571,1.5747
GaiaDR24020090844672,045.12660382606,+00.18292231266,,20.6877,21.9532,19.6761,2.2772
GaiaDR24054450582912,045.09698749639,+00.18131376698,,20.3854,,,
GaiaDR24230543624320,045.06347900322,+00.19565135632,0.3187,15.7158,16.0992,15.1847,0.9145
GaiaDR24294967463680,045.09963377111,+00.19658514110,,20.9919,21.7672,20.6588,1.1083
GaiaDR24432406356096,044.92298770527,+00.09714528850,0.4858,20.2786,21.3883,19.1917,2.1966
GaiaDR24501125792384,044.91023523912,+00.09534312046,,20.9191,19.9485,20.3349,-0.3864
GaiaDR24539781243776,044.93325653613,+00.09446931034,-0.9207,19.7881,20.5173,18.7288,1.7885
GaiaDR24535486865536,044.93621580105,+00.10244084710,,20.9980,21.1335,20.0691,1.0643
GaiaDR24711579935744,044.89480103785,+00.11403398342,0.9962,14.2992,14.6494,13.7794,0.8700
GaiaDR24707284223104,044.89846095730,+00.11797888019,-0.1594,18.7412,19.0346,18.2348,0.7997
GaiaDR24741643961344,044.87719487066,+00.11741478301,,20.7299,20.6289,19.9210,0.7079
GaiaDR24780298790784,044.89817292371,+00.11894541451,-1.0708,20.2031,20.5418,19.3835,1.1583
GaiaDR24776005026176,044.88237698009,+00.12114834560,,20.9080,22.0117,19.3837,2.6280
GaiaDR24810363437952,044.91029528809,+00.11475475814,1.4220,18.8103,20.3019,17.6585,2.6433
GaiaDR24814659150336,044.91277774981,+00.12400514817,1.0680,17.1587,17.9741,16.2314,1.7427
GaiaDR25016521963392,044.94136212207,+00.13559163814,0.2331,19.7089,20.1980,18.9812,1.2168
GaiaDR25050881701504,044.95293747110,+00.13388774733,2.8534,18.2659,19.8801,16.9802,2.8999
GaiaDR25119601441536,044.99353517883,+00.14900681390,1.8051,19.1958,20.5991,17.9309,2.6682
GaiaDR25192616270720,044.97366492023,+00.15519828760,7.9658,16.3041,17.6627,15.1530,2.5097
GaiaDR25291399870976,044.92080381350,+00.14607459976,0.4680,16.8141,17.1801,16.2796,0.9005
GaiaDR25295694864384,044.92544118623,+00.14956127060,,20.6744,,,
GaiaDR25291399871104,044.92568820503,+00.14972409254,0.1304,18.7622,19.2631,17.7734,1.4897
GaiaDR25291399871488,044.92285637736,+00.15115992897,1.3639,17.5151,18.3669,16.6010,1.7658
GaiaDR25330054601856,044.93981543304,+00.15810693060,1.3443,19.5835,,,
GaiaDR25330055224960,044.93980747427,+00.15784569223,0.5497,18.9809,19.3935,17.5372,1.8563
GaiaDR25360119348480,044.95899933324,+00.15236889954,2.5218,18.4883,19.8714,17.2783,2.5930
GaiaDR25364414963072,044.95147146978,+00.15677121969,0.7988,17.1961,17.8203,16.4502,1.3701
GaiaDR25394479088256,044.96998923238,+00.16358356241,1.4383,17.8552,18.9763,16.7945,2.1818
GaiaDR25497558205696,044.87539138015,+00.11820408984,0.6064,16.3324,16.8049,15.7005,1.1045
GaiaDR25531917984000,044.87697985230,+00.13213830755,1.3531,20.1957,20.7406,19.0886,1.6520
GaiaDR25841155589888,044.84019107691,+00.15256528506,3.0454,18.9273,20.4878,17.7589,2.7289
GaiaDR25944234902272,044.88476061295,+00.16480603188,,20.7573,20.6491,20.2889,0.3602
GaiaDR25944234845056,044.87786083063,+00.17057764873,-0.4067,20.2003,21.0682,18.8632,2.2050
GaiaDR26017249992832,044.87060001559,+00.17242672304,0.6290,17.3140,17.9720,16.5043,1.4677
GaiaDR26012955592192,044.86955668002,+00.17225735655,0.4765,18.7083,19.3279,17.8805,1.4474
GaiaDR26047314116736,044.91523916442,+00.15835894400,0.2523,18.4556,18.7998,17.8247,0.9751
GaiaDR26085969468928,044.92562187689,+00.16883334238,0.3763,16.2835,16.7086,15.6980,1.0106
GaiaDR26150393333888,044.91828564453,+00.17799778210,-0.2634,19.9335,20.2662,19.3575,0.9087
GaiaDR26184753072384,044.93457074219,+00.17828645159,-0.4904,19.7013,20.6884,18.6683,2.0201
GaiaDR26219112811008,044.94684862064,+00.18143326114,-0.3045,18.9849,19.5513,18.1551,1.3962
GaiaDR26219113071360,044.93848739420,+00.18545763868,1.2698,20.5016,21.0407,19.3445,1.6962
GaiaDR26223408420864,044.93764251675,+00.18839765623,3.0952,13.9458,14.4900,13.2620,1.2280
