hostname,sy_snum,sy_pnum,discoverymethod,ra,dec
11 Com,2,1,Radial Velocity,185.1787793,17.7932516
11 UMi,1,1,Radial Velocity,229.27459539999998,71.8239428
14 And,1,1,Radial Velocity,352.82415,39.2358367
14 Her,1,2,Radial Velocity,242.6021014,43.816362100000006
16 Cyg B,3,1,Radial Velocity,295.4656422,50.516824299999996
17 Sco,1,1,Radial Velocity,243.46208739999997,-11.8377905
18 Del,2,1,Radial Velocity,314.6078375,10.839137800000001
1RXS J160929.1-210524,1,1,Imaging,242.37623430000002,-21.083140300000004
24 Boo,1,1,Radial Velocity,217.1555242,49.844648799999995
24 Sex,1,2,Radial Velocity,155.86848659999998,-0.9023998
2M0437,1,1,Imaging,69.3405531,26.850299699999997
2MASS J01033563-5515561 A,2,1,Imaging,15.8992489,-55.2658291
2MASS J01225093-2439505,1,1,Imaging,20.712801199999998,-24.6646128
2MASS J02192210-3925225,1,1,Imaging,34.842704600000005,-39.4230767
2MASS J04414489+2301513,1,1,Imaging,70.4371079,23.0308544
2MASS J12073346-3932539,1,1,Imaging,181.8890906,-39.5484399
2MASS J19383260+4603591,2,1,Eclipse Timing Variations,294.6359173,46.0664076
2MASS J21402931+1625183 A,1,1,Imaging,325.1218214,16.4213408
2MASS J22362452+4751425,1,1,Imaging,339.10259310000004,47.861683
30 Ari B,4,1,Radial Velocity,39.24127360000001,24.6480103
4 UMa,1,1,Radial Velocity,130.05280990000003,64.3280504
42 Dra,2,1,Radial Velocity,276.49750530000006,65.5633652
47 UMa,1,3,Radial Velocity,164.8647611,40.43049310000001
51 Eri,3,1,Imaging,69.40074240000001,-2.4738245
51 Peg,1,1,Radial Velocity,344.3675399,20.769095800000002
55 Cnc,2,5,Radial Velocity,133.1468373,28.329815399999998
6 Lyn,1,1,Radial Velocity,97.6960311,58.161175300000004
61 Vir,1,3,Radial Velocity,199.596455,-18.3157745
7 CMa,1,2,Radial Velocity,99.171276,-19.256180800000003
70 Vir,1,1,Radial Velocity,202.1064898,13.776308499999999
75 Cet,2,1,Radial Velocity,38.0391598,-1.0350269
8 UMi,1,1,Radial Velocity,224.201685,74.9009379
81 Cet,1,1,Radial Velocity,39.4243555,-3.3963607000000002
91 Aqr,3,1,Radial Velocity,348.97450310000005,-9.0878076
AB Pic,1,1,Imaging,94.8039208,-58.0541184
AU Mic,1,2,Transit,311.29113689999997,-31.34245
BD+03 2562,1,1,Radial Velocity,177.56472680000002,2.7601075
BD+14 4559,1,1,Radial Velocity,318.4010002,14.6893834
BD+15 2375,1,1,Radial Velocity,176.4820239,14.6163182
BD+15 2940,1,1,Radial Velocity,240.09564,15.546750699999999
BD+20 2457,1,2,Radial Velocity,154.186782,19.8912626
BD+20 274,1,1,Radial Velocity,25.920317899999997,21.005269199999997
BD+20 594,1,1,Transit,53.6511231,20.599020499999998
BD+45 564,1,1,Radial Velocity,32.9470485,45.924218700000004
BD+48 738,1,1,Radial Velocity,40.7102869,49.5869395
BD+48 740,1,1,Radial Velocity,40.7425426,48.930057899999994
BD+49 828,1,1,Radial Velocity,45.640618700000005,49.7299481
BD+55 362,1,1,Radial Velocity,23.9636676,56.6982282
BD+60 1417,1,1,Imaging,190.88754530000003,60.0143636
BD+63 1405,1,1,Radial Velocity,271.3979337,63.6700064
BD-00 4475,1,1,Radial Velocity,347.71084410000003,0.4085612
BD-06 1339,1,2,Radial Velocity,88.2511811,-5.9963378
BD-08 2823,1,2,Radial Velocity,150.19719640000002,-9.5165689
BD-10 3166,1,1,Radial Velocity,164.6191243,-10.7704227
BD-11 4672,1,2,Radial Velocity,278.3688659,-11.6370481
BD-13 2130,1,1,Radial Velocity,114.28846920000001,-13.9066703
BD-17 63,1,1,Radial Velocity,7.1413494,-16.2273254
CD Cet,1,1,Radial Velocity,48.353015500000005,4.775188099999999
CFBDSIR J145829+101343,1,1,Imaging,224.62083330000002,10.228611099999998
CFHTWIR-Oph 98 A,1,1,Imaging,246.934277,-23.98115
CHXR 73,1,1,Imaging,166.61939850000002,-77.6258725
CI Tau,1,1,Radial Velocity,68.4667685,22.841619199999997
COCONUTS-2 A,1,1,Imaging,117.30091399999999,-76.702696
CT Cha,1,1,Imaging,166.03750380000002,-76.4553693
CoRoT-1,1,1,Transit,102.0798591,-3.1021394
CoRoT-10,1,1,Transit,291.0636813,0.7460143
CoRoT-11,1,1,Transit,280.6872998,5.9376586
CoRoT-12,1,1,Transit,100.7656871,-1.2964437
CoRoT-13,1,1,Transit,102.7211432,-5.0864557
CoRoT-14,1,1,Transit,103.42420229999999,-5.5360385
CoRoT-16,1,1,Transit,278.52466580000004,-6.0026025999999995
CoRoT-17,1,1,Transit,278.699236,-6.612288
CoRoT-18,1,1,Transit,98.1724172,-0.0316045
CoRoT-19,1,1,Transit,97.0335983,-0.1707293
CoRoT-2,2,1,Transit,291.7770457,1.3836633999999999
CoRoT-20,1,2,Transit,97.72042490000001,0.22689310000000001
CoRoT-21,1,1,Transit,101.0526207,-0.29915440000000004
CoRoT-22,1,1,Transit,280.6671392,6.2191669
CoRoT-23,1,1,Transit,279.7826586,4.357751599999999
CoRoT-24,1,2,Transit,101.922543,-3.7192892
CoRoT-25,1,1,Transit,280.62965610000003,6.5138223
CoRoT-26,1,1,Transit,279.7504991,6.969782799999999
CoRoT-27,1,1,Transit,278.4958319,5.5383811
CoRoT-28,1,1,Transit,278.6883216,5.5736911
CoRoT-29,1,1,Transit,278.9020691,6.4795703
CoRoT-3,1,1,Transit,292.0552827,0.1218359
CoRoT-30,1,1,Transit,277.6011767,6.8359338
CoRoT-31,1,1,Transit,94.820735,-4.4222978
CoRoT-4,1,1,Transit,102.1946233,-0.6727860999999999
CoRoT-5,1,1,Transit,101.2772396,0.8152163
CoRoT-6,1,1,Transit,281.07255630000003,6.6632062
CoRoT-7,1,2,Transit,100.95616820000001,-1.0630076000000002
CoRoT-8,1,1,Transit,291.5885696,1.4262972
CoRoT-9,2,1,Transit,280.7866461,6.2040783
CoRoTID 223977153,1,1,Transit,100.1951714,9.2573953
DE CVn,2,1,Eclipse Timing Variations,201.7207198,45.545544899999996
DENIS-P J082303.1-491201,1,1,Astrometry,125.7620668,-49.200300799999994
DH Tau,1,1,Imaging,67.42316740000001,26.5493897
DMPP-1,1,4,Radial Velocity,86.7761233,-10.6303217
DMPP-2,1,1,Radial Velocity,27.407731,-34.459098499999996
DMPP-3 A,2,1,Radial Velocity,91.624382,-72.5126648
DP Leo,2,1,Eclipse Timing Variations,169.31621930000003,17.9615717
DS Tuc A,2,1,Transit,354.9154673,-69.196043
EPIC 201170410,1,1,Transit,170.1408561,-4.807003900000001
EPIC 201238110,1,1,Transit,179.70585319999998,-3.3894613
EPIC 201427007,1,1,Transit,184.6021322,-0.5512885999999999
EPIC 201497682,1,1,Transit,168.9366786,0.48806059999999996
EPIC 201595106,1,1,Transit,183.7203635,1.9681688000000002
K2-166,1,2,Transit,185.18809319999997,2.2823787999999996
K2-16,1,3,Transit,175.09722380000002,4.5574311
EPIC 201757695,1,1,Transit,173.9385102,4.6164303
K2-50,1,2,Transit,169.483654,5.988289
EPIC 201841433,1,1,Transit,175.206752,6.1348145999999995
K2-168,1,2,Transit,333.1100738,-16.341886300000002
EPIC 206024342,1,3,Transit,331.2771441,-14.1218019
EPIC 206032309,1,1,Transit,341.2404563,-13.901122299999999
EPIC 206042996,1,2,Transit,337.5136198,-13.6101475
EPIC 206215704,1,1,Transit,335.09497210000006,-9.5097112
EPIC 206317286,1,1,Transit,337.6178427,-7.972456
EPIC 211822797,1,1,Transit,130.4102091,17.639974399999996
EPIC 211945201,1,1,Transit,136.57419309999997,19.4020565
EPIC 212297394,1,2,Transit,207.20612409999998,-17.6098985
EPIC 212424622,1,1,Transit,202.33137649999998,-14.3594358
EPIC 212499991,1,1,Transit,202.488752,-12.734774900000001
EPIC 212587672,1,2,Transit,205.4445125,-10.8625468
EPIC 212624936,1,2,Transit,210.6376171,-10.0236852
EPIC 212737443,1,2,Transit,204.2215065,-7.318057700000001
EPIC 220492298,1,1,Transit,16.7615005,6.588798
K2-282,1,2,Transit,13.4321524,7.9952914
EPIC 220674823,1,2,Transit,13.0800239,10.7947051
EPIC 228836835,1,1,Transit,189.57489980000003,-5.2446247
EPIC 246851721,2,1,Transit,78.9198197,16.2786991
EPIC 248847494,1,1,Transit,159.38908080000002,11.8427484
EPIC 249893012,1,3,Transit,228.2482353,-16.724647400000002
FU Tau,1,1,Imaging,65.8974962,25.050671100000002
G 264-012,1,2,Radial Velocity,326.6719598,66.803848
G 9-40,1,1,Transit,134.7188514,21.0747961
GJ 1061,1,3,Radial Velocity,54.003248600000006,-44.5143104
GJ 1132,1,2,Transit,153.7090696,-47.1549358
GJ 1148,1,2,Radial Velocity,175.4326081,42.751586200000006
GJ 1151,1,1,Radial Velocity,177.7304866,48.3732334
